,log10phi,f_r,log10x_50,A0,PE,fpvls_avg,fpvls_std,IC50s_avg,IC50s_std,dose
49,1.2141009115987667,0.11208357966130729,2.0573750795836587,4.0,0.8295454545454546,5.4336703169838305,1.524786953755835,1.6208121897314836,0.1978146769226935,30.0
50,1.3843918412923477,0.4089307931745501,1.3515214950143684,2.0,0.5454545454545454,5.217989290884704,1.5799845050243706,1.6029120297117678,0.2952931763961679,30.0
51,1.2275565796098025,0.10994426934909192,1.860437341160425,10.0,0.8977272727272727,4.6843405930947135,1.8211359714919855,1.5027284683595594,0.37037231480103416,30.0
52,1.4121031233435333,0.26228555725747565,1.6741735592863631,4.0,0.6590909090909092,5.749160912709289,1.2081911244322263,1.5778187565559023,0.4424555750771697,30.0
53,1.5423263446215971,0.294529273908577,2.2022707807950725,7.0,0.6363636363636364,4.83675076563507,1.4755436681275718,1.6028154679676727,0.3767762491643143,30.0
54,0.9902765852583794,0.3066268450552351,1.044514316430074,1.0,0.6818181818181819,5.204329198941872,1.5464179714304538,1.672878614892337,0.09857230840309152,30.0
55,1.270097475834192,0.3622395186447108,2.253151027361951,11.0,0.5795454545454546,5.339463828530805,1.5035446135104202,1.683767474783569,0.06384848599099843,30.0
56,1.3699454825540993,0.32588724191814195,0.6029664867719611,6.0,0.5909090909090908,5.035962600876639,1.7209576265979039,1.5684099797797204,0.397509508740634,30.0
57,1.668362092599355,0.4999042077839263,1.25997951990009,2.0,0.48863636363636365,5.08259785981403,1.3789837431604794,1.6199095476520002,0.36632842339031946,30.0
58,1.719926182005399,0.10968192082852042,2.4187946501989397,10.0,0.8181818181818181,5.33564413661319,1.6804909470972629,1.416496414779124,0.7607849480947162,30.0
59,-0.05530166396044832,0.3029612382154288,2.4072581817546297,1.0,0.6590909090909092,5.5985128202424015,1.6539792738793484,1.6826438141987867,0.08791922456160813,30.0
60,1.529313064739701,0.22873282166289016,1.5345064114646056,10.0,0.75,5.60744183232432,1.4695287630547393,1.6325855175123096,0.3042119358404447,30.0
61,1.7820462459634316,0.5374475460245287,2.1662702607512814,12.0,0.38636363636363635,5.495237790691982,1.262741574052729,1.6115333206943436,0.3480490473354501,30.0
62,1.8525821995887704,0.022139920848911015,2.523896390928744,3.0,0.9318181818181819,3.80417060297038,1.8937659983948711,0.05903104650521166,0.8219369654300144,30.0
63,1.6877134727538883,0.5881250459731122,1.3886146584576669,10.0,0.43181818181818177,5.218948544496085,1.5003201716796237,1.5491180690686641,0.4250697249299982,30.0
64,1.6058751179109079,0.46849953935907745,2.3774840550941554,9.0,0.46590909090909094,5.387421178914644,1.3460477291125919,1.4529392442091358,0.5891023012796354,30.0
65,1.1471147923229656,0.45487911887789956,2.3954649152033594,11.0,0.5227272727272727,5.226502469652757,1.7270254179330504,1.6420529390722105,0.1924892850808379,30.0
66,0.9502238019183066,0.015445741613821201,2.323008168558816,12.0,0.9318181818181819,6.134128144433151,0.6280536242277234,0.9108471395331602,0.8351830422824985,30.0
67,1.5918770699763833,0.4022814693984171,2.6582343795772694,1.0,0.6363636363636364,5.606892075023461,1.4644890141552938,1.6653699196529341,0.11337374139758659,30.0
68,0.372947183441641,0.5874815513972873,1.9856365559683729,9.0,0.43181818181818177,4.945015432650668,1.7405297632064618,1.669098726988918,0.11592945858341656,30.0
69,2.0372432549062074,0.7169319804530746,2.575264020633603,11.0,0.18181818181818177,5.316193249848354,1.6321099606483724,1.511328888362965,0.5150009457499205,30.0
70,1.747885059173292,0.16557879276875273,2.10953910029497,9.0,0.7045454545454546,5.503863145442162,1.7552447562784728,1.3561848819001352,0.6798489571205953,30.0
71,1.9172547179881503,0.6227710774147371,1.9634227303029008,10.0,0.20454545454545459,5.108891019652252,1.6996566695559043,1.586403919007526,0.4577129333368278,30.0
