20,0.174180681
20,0.238878713
20,0.308794859
20,0.287103989
20,0.184135515
20,0.410109565
20,0.53903941
20,0.388629678
20,0.782745868
20,0.648290484
21,3.801071021
21,13.96707406
21,32.94923239
21,34.87493228
21,37.98234657
21,50.56505896
21,47.7219589
21,38.04232193
21,49.20426744
21,47.17617837
22,2.042229185
22,1.23885657
22,1.059109071
22,1.309993448
22,1.087458437
22,0.878119729
22,0.854096714
22,0.442104985
22,0.317933036
22,0.260653595
23,0.685551122
23,0.965900599
23,1.179660327
23,0.801451125
23,0.80100255
23,0.811879285
23,1.006450623
23,0.65498998
23,0.478809094
23,0.286112054
23,0.126624687
24,5.335621097
24,2.536303581
24,1.654053994
24,1.650605995
24,1.721214578
24,1.223753544
24,0.796408976
24,0.662095606
24,0.511170802
24,0.564219137
25,6.206315953
25,2.486835076
25,2.705385235
25,1.551152246
25,1.322386372
25,1.052820951
25,0.803452375
26,42.58646573
26,40.76885041
26,35.31972151
26,41.30562475
26,46.94623541
26,24.38000496
26,21.40711058
26,18.52887218
26,22.94604905
26,15.8743888
26,12.79245567
26,7.985330991
26,8.204920131
26,3.383061657
26,1.297584575
27,2.83637558
27,3.223377028
27,3.876485206
27,2.28663832
27,2.383726643
27,1.978589892
27,1.595755528
27,1.552257912
27,1.134438865
27,1.555500469
